topology,seed,n,k_out_mean,indeg_mean,indeg_std,indeg_max,indeg_gini,p_sum,p_sq_sum,clustering_approx,avg_path_approx
random_fixed,0,80,6.0,0.9999999999999998,0.4867171292912196,2.2467542848111726,0.2729381192279253,80.0,17.267978778015916,0.12619919704478527,1.9914556962025316
scale_free_extreme,0,80,6.0,1.0,1.388631617679671,5.435233020658414,0.6825189138194137,80.0,17.16427838971921,0.309054416083581,1.9610759493670886
small_world_clustered,0,80,5.9875,0.9963828714487473,0.25332050098024217,1.7233745069262483,0.1395252108925135,79.71062971589978,16.915308303215767,0.6047989510489511,2.5661392405063292
random_fixed,1,80,6.0,1.0,0.4359063697620987,2.3809823818396056,0.24432937117360085,80.0,17.37576325730057,0.15017884892884895,2.0104430379746834
scale_free_extreme,1,80,6.0,1.0,1.4959017082368926,6.837703659636429,0.6956051998437038,80.0,17.560754870633577,0.33007591273496234,1.9310126582278482
small_world_clustered,1,80,5.9875,0.9987808242041029,0.22852483484888172,1.656056462060513,0.12828718441976275,79.90246593632821,16.92622836974585,0.6256530969030969,2.6367088607594935
random_fixed,2,80,6.0,1.0,0.43180448372583824,2.3003299334453304,0.23917109911149276,80.0,17.36133137913684,0.11763405507890803,1.9841772151898733
scale_free_extreme,2,80,6.0,1.0,1.4060111456218847,6.717738787897273,0.6672956899528869,80.0,17.700626974487648,0.3156277548390079,1.941772151898734
small_world_clustered,2,80,5.9875,0.9984732758222293,0.23213617865061595,1.7947178833354316,0.1275285279136405,79.87786206577834,17.547559379390727,0.651766428016428,3.0389240506329114
random_fixed,3,80,6.0,1.0,0.4619921721608872,2.1562604015075304,0.2616135904266937,80.0,17.948622708938395,0.14820125136301607,2.0117088607594935
scale_free_extreme,3,80,6.0,1.0,1.1963847351788464,4.906038591418855,0.612782019698737,80.0,17.697646332940703,0.23971848429351006,1.9734177215189874
small_world_clustered,3,80,5.975,0.9977450027778374,0.2304613422335044,1.7430811447128736,0.1275061972585803,79.819600222227,17.801139371603426,0.6478477078477078,2.9082278481012658
random_fixed,4,80,6.0,1.0,0.4606029601111455,2.970854596019882,0.24632621016689998,80.0,17.68432613205894,0.13393266896072623,2.0151898734177216
scale_free_extreme,4,80,6.0,1.0,1.558748113792336,7.215302011265683,0.6997167097829438,80.0,17.097961780939166,0.3318635948747974,1.9313291139240507
small_world_clustered,4,80,5.9875,0.999387155689204,0.2771898251327589,1.8597267347248272,0.15490691122741698,79.95097245513634,17.469399069597074,0.6213024475524476,2.6537974683544303
random_fixed,5,80,6.0,1.0,0.47007275780084595,2.2515472605626887,0.26575892803841494,80.0,18.319177411167367,0.13299248545572076,2.0069620253164557
scale_free_extreme,5,80,6.0,1.0,1.5840425646305258,6.252440332081262,0.7298080139570124,80.0,18.065025265578004,0.3281950178698862,1.933860759493671
small_world_clustered,5,80,5.9875,0.9977815501962111,0.2669933100324811,1.7203916633033602,0.1501817017407845,79.8225240156969,18.06878899018091,0.6244055944055944,2.655379746835443
random_fixed,6,80,6.0,1.0,0.4655537349399035,2.5463879751614367,0.2595503818422077,80.0,17.227749591541468,0.13573998713704596,2.010759493670886
scale_free_extreme,6,80,6.0,1.0,1.3690569855331254,5.785968518258507,0.6777593666560037,80.0,17.594342178362602,0.28091614689778455,1.9566455696202532
small_world_clustered,6,80,6.0,1.0,0.24993783203418107,1.552442164123255,0.1418856654158926,80.0,17.789658206493876,0.6490938228438228,2.9778481012658227
random_fixed,7,80,6.0,0.9999999999999998,0.4868165978275689,2.81892484088583,0.26394625709192054,80.0,17.866048516363442,0.12906927427148016,2.006012658227848
scale_free_extreme,7,80,6.0,1.0,1.251299619117121,4.961289379194687,0.6324598658780847,80.0,17.595145465778756,0.25816740838323254,1.9715189873417722
small_world_clustered,7,80,6.0,1.0,0.2326519267718428,1.6267501784841094,0.13157943145193798,80.0,17.673212029903873,0.6474887612387612,2.814873417721519
random_fixed,8,80,6.0,1.0,0.46089747179070395,2.2328430333376765,0.260436026307927,80.0,18.022777679987904,0.13439475557122615,1.9981012658227848
scale_free_extreme,8,80,6.0,1.0,1.3070146187014915,7.455839641403235,0.63436736007027,80.0,17.807021614380204,0.27365208560137944,1.9462025316455696
small_world_clustered,8,80,6.0,1.0,0.26215628168722716,1.6791423290769958,0.1481802533028267,80.0,17.312280062070712,0.6385732323232324,2.812341772151899
random_fixed,9,80,6.0,1.0,0.43211204672723647,2.2490114455183474,0.24177423718465976,80.0,17.397275723010722,0.14458670210508448,1.9981012658227848
scale_free_extreme,9,80,6.0,1.0,1.2958221347839731,6.266145467326911,0.645083730382352,80.0,17.74004397244539,0.2699085286988029,1.9468354430379746
small_world_clustered,9,80,6.0,1.0,0.27782007863712627,1.7665815467454309,0.15585839856657877,80.0,17.694219321582068,0.6484829059829059,2.768987341772152
random_fixed,10,80,6.0,1.0,0.4425503541404289,2.0436359101501886,0.25177925735340356,80.0,18.09366194965277,0.12230900635312399,2.007594936708861
scale_free_extreme,10,80,6.0,1.0,1.4762694891047508,6.560324979698422,0.6795693309404534,80.0,17.89912937687128,0.2727371184902359,1.9379746835443037
small_world_clustered,10,80,5.9875,0.996279865186515,0.262703922146976,1.709762096246338,0.1464400285422162,79.7023892149212,17.643551944125548,0.6302199189699189,2.755379746835443
random_fixed,11,80,6.0,1.0,0.5031774553883118,2.375474908497189,0.279010354613495,80.0,18.053657111348826,0.1285265775890776,1.9927215189873417
scale_free_extreme,11,80,6.0,1.0,1.215349739202623,4.378750414759614,0.6376091122014664,80.0,17.886512619660486,0.24295231217156738,1.9753164556962026
small_world_clustered,11,80,5.975,0.9955447043531184,0.2464210628261995,1.6804732360533985,0.13643637912107084,79.64357634824947,17.14107945832088,0.6158549783549783,2.6471518987341773
random_fixed,12,80,6.0,1.0,0.45507569643651496,2.1244034124131024,0.25582241802574107,80.0,17.93316227122161,0.14082808939426586,1.9936708860759493
scale_free_extreme,12,80,6.0,1.0,1.5267783185450148,7.2455838405500055,0.7058207974216373,80.0,18.15528855464951,0.3174022642782752,1.9455696202531645
small_world_clustered,12,80,6.0,1.0,0.2941670504482338,1.9523297131380128,0.1624327443055275,80.0,18.100199307983537,0.6160390997890998,2.562974683544304
random_fixed,13,80,6.0,1.0,0.4765764748819877,1.9102279840926784,0.2726297469770852,80.0,17.40355239819825,0.13302169848125728,2.0129746835443036
scale_free_extreme,13,80,6.0,1.0,1.039053957378433,4.143289690219855,0.5582675108704558,80.0,17.10881718262265,0.2068839580310084,1.9996835443037975
small_world_clustered,13,80,6.0,1.0,0.24543919053792745,1.7193860082268668,0.1357476501580491,80.0,17.337314861393715,0.6243405205905206,2.6376582278481013
random_fixed,14,80,6.0,1.0,0.4090067137981611,1.9872331938494563,0.2322182904277062,80.0,17.12975924563641,0.128918869121075,1.9962025316455696
scale_free_extreme,14,80,6.0,1.0,1.3628237921470603,5.511472052185118,0.6735746681520076,80.0,17.40597373194797,0.28832565569879814,1.9477848101265822
small_world_clustered,14,80,5.9875,0.9983403806684947,0.24122029936256073,1.5723137507579588,0.13797035684923245,79.86723045347958,17.678250435677093,0.6451698301698301,2.742405063291139
random_fixed,15,80,6.0,1.0,0.4451301487010312,2.1799697696428257,0.2524948213759508,80.0,17.70442302263855,0.13856710895313834,2.000632911392405
scale_free_extreme,15,80,6.0,1.0,1.3459662764674396,6.2302588395100535,0.6517399534621175,80.0,17.74006523596912,0.2744522188894301,1.9341772151898735
small_world_clustered,15,80,6.0,1.0,0.22850449216448293,1.5002837824823008,0.1294176516877444,80.0,17.430773608055947,0.6197965922965922,2.624367088607595
random_fixed,16,80,6.0,1.0,0.43520424062025026,2.068423443701316,0.2471006060172556,80.0,17.428102532582372,0.13615962468903647,2.0015822784810124
scale_free_extreme,16,80,6.0,1.0,1.5615348294712723,6.4516825393429516,0.7090383510720788,80.0,17.69655781245323,0.33293187464025653,1.9072784810126582
small_world_clustered,16,80,6.0,1.0,0.2972745353982456,1.7776555545389876,0.16486991159790776,80.0,17.7296610379103,0.625333139083139,2.6382911392405064
random_fixed,17,80,6.0,1.0,0.4169585798408801,1.9562204875313105,0.23712923237429956,80.0,17.741071443234095,0.12908219231748644,2.0003164556962023
scale_free_extreme,17,80,6.0,1.0,1.498974654731776,7.032640384209988,0.7026066427431182,80.0,17.64781553557391,0.3066728454182427,1.933860759493671
small_world_clustered,17,80,6.0,1.0,0.25189052068058,1.7246465038210235,0.14180260920507698,80.0,18.119646082035448,0.6518997668997668,2.9104430379746837
random_fixed,18,80,6.0,1.0,0.45046804821967296,2.371949759728261,0.25020157322625297,80.0,17.69458385243454,0.13992920274170273,1.985126582278481
scale_free_extreme,18,80,6.0,1.0,1.4232135610351186,6.050906717815762,0.6874173714760539,80.0,17.700731173979644,0.2814394698260382,1.9357594936708862
small_world_clustered,18,80,6.0,1.0,0.2619567211580626,1.5835332675301521,0.14853662418314678,80.0,18.0092049045019,0.6366296203796203,2.6841772151898735
random_fixed,19,80,6.0,1.0,0.43461175748123826,2.5005342932798165,0.23464826032299246,80.0,17.379869481299085,0.13040305261473992,1.985126582278481
scale_free_extreme,19,80,6.0,1.0,1.4816405350354371,7.228070778838991,0.7003917657361937,80.0,17.391916464087416,0.2872212697193297,1.9531645569620253
small_world_clustered,19,80,6.0,1.0,0.2525148349796898,1.4979385442903745,0.14274812318530153,80.0,17.82970304093667,0.6535975135975136,2.957594936708861
